date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate
2014-02-06,"February 06, 14",0.108929,3.05,2014-02-10,2014-02-13,2014-01-27
2013-11-06,"November 06, 13",0.108929,3.05,2013-11-11,2013-11-14,2013-10-28
2013-08-08,"August 08, 13",0.108929,3.05,2013-08-12,2013-08-15,2013-07-23
2013-05-09,"May 09, 13",0.108929,3.05,2013-05-13,2013-05-16,2013-04-23
2013-02-07,"February 07, 13",0.094643,2.65,2013-02-11,2013-02-14,2013-01-23
2012-11-07,"November 07, 12",0.094643,2.65,2012-11-12,2012-11-15,2012-10-25
2012-08-09,"August 09, 12",0.094643,2.65,2012-08-13,2012-08-16,2012-03-19
1995-11-21,"November 21, 95",0.001071,0.12,,,
1995-11-20,"November 20, 95",0.0010714275,0.12,1995-11-24,1995-12-15,1995-10-09
1995-08-16,"August 16, 95",0.001071,0.12,1995-08-18,1995-09-08,1995-07-20
1995-05-29,"May 29, 95",0.0010714275,0.12,1995-06-02,1995-06-23,1995-05-02
1995-05-26,"May 26, 95",0.001071,0.12,,,
1995-02-14,"February 14, 95",0.0010714275,0.12,1995-02-17,1995-03-10,
1995-02-13,"February 13, 95",0.001071,0.12,,,
1994-11-21,"November 21, 94",0.0010714275,0.12,1994-11-25,1994-12-16,
1994-11-18,"November 18, 94",0.001071,0.12,,,
1994-08-16,"August 16, 94",0.0010714275,0.12,1994-08-19,1994-09-09,
1994-08-15,"August 15, 94",0.001071,0.12,,,
1994-05-30,"May 30, 94",0.0010714275,0.12,1994-06-03,1994-06-24,
1994-05-27,"May 27, 94",0.001071,0.12,,,
1994-02-08,"February 08, 94",0.0010714275,0.12,1994-02-11,1994-03-04,1994-02-02
1994-02-07,"February 07, 94",0.001071,0.12,,,
1993-11-22,"November 22, 93",0.0010714275,0.12,1993-11-26,1993-12-17,
1993-11-19,"November 19, 93",0.001071,0.12,,,
1993-08-17,"August 17, 93",0.0010714275,0.12,1993-08-20,1993-09-10,
1993-08-16,"August 16, 93",0.001071,0.12,,,
1993-06-01,"June 01, 93",0.0010714275,0.12,1993-06-04,1993-06-25,
1993-05-28,"May 28, 93",0.001071,0.12,,,
1993-02-16,"February 16, 93",0.0010714275,0.12,1993-02-19,1993-03-12,
1993-02-12,"February 12, 93",0.001071,0.12,,,
1992-11-30,"November 30, 92",0.001071,0.12,1992-12-04,1992-12-18,1992-11-23
1992-08-17,"August 17, 92",0.001071,0.12,1992-08-21,1992-09-11,
1992-06-01,"June 01, 92",0.001071,0.12,,,
1992-02-14,"February 14, 92",0.001071,0.12,1992-02-21,1992-03-13,
1991-11-18,"November 18, 91",0.001071,0.12,1991-11-22,1991-12-13,
1991-08-19,"August 19, 91",0.001071,0.12,1991-08-23,1991-09-13,
1991-05-20,"May 20, 91",0.001071,0.12,1991-05-24,1991-06-14,
